Goal,CQ ID,CQ,Web Portal,Dashboard
Find answer to specific question,Carolina1-CQ1,Where was a musical composition performed?,,Yes
,Carolina1-CQ5,"Which performers (musicians, singers) have performed a musical composition?",,Yes
,Carolina1-CQ12,Which is the medium of performance of a musical composition?,,Yes
,Carolina1-CQ13,Which was the first medium of performance of a musical composition?,,Yes
,Carolina1-CQ17,Which is/are the composer(s) of a musical composition?,,Yes
,David1-CQ1,What music was being played?,,Yes
,David1-CQ7,Where were the places (in which they played)?,,Yes
,David1-CQ12,Who is the composer of a piece of music?,,Yes
,David1-CQ14,What was the country of origin of a piece of music?,,Yes
,Keoma1-CQ2,What repertoire is traditionally performed in a specific location?,,Yes
,Keoma1-CQ6,How many people are generally employed for the performance of these sound practices?,,Yes
,Keoma1-CQ6,How many performers (or bell ringers?) are generally employed for the performance of these sound practices?,,Yes
,Mark1-CQ2,Which is the country of origin of a composition?,,Yes
,Mark2-CQ6,Which is the builder of an organ?,,Yes
,Mark2-CQ7,Where has an organ been built?,,Yes
,Mark2-CQ7,When has an organ been built?,,Yes
,Mark2-CQ8,Which are the materials of an organ?,,Yes
,Ortenz1-CQ1,Which is the role of the creator of an official source?,,Yes
,Ortenz1-CQ11,Where was the source produced?,,Yes
,Ortenz1-CQ12,Who produced the source?,,Yes
,Ortenz1-CQ13,"What type of source is it? E.g. Literary text, painting",,Yes
,Ortenz2-CQ21,Where did she perform?,,Yes
,Patrizia1-CQ3,Are there formalized collective actors who carry out sound practices?,,Yes
,William1-CQ2,In which countries does a song occur?,,Yes
,William1-CQ3,Which compositions match with William's thematic focus for the exhibition?,,Yes
,William1-CQ3,Which is the thematic focus of a composition?,,Yes
,William1-CQ3,Which is the thematic focus of an exhibition?,,Yes
,William1-CQ4,Which is/are the composer(s) of a composition?,,Yes
,William1-CQ4,Which is/are the performer(s) of a composition?,,Yes
,William1-CQ6,Under which titles is this song known? (multi-language),,Yes
,Sonia1-CQ1,What is the musical piece that the persona selects?,,Yes
,Sonia1-CQ5,Who is/are the composer(s)/musician(s) of the musical piece?,,Yes
,Sonia1-CQ7,When/Where was the musical piece recorded?,,Yes
,Ralph1-CQ1,Who is the poet (librettist) associated with a text?,,Yes
,Ralph1-CQ2,What is the emotion represented by a portion of text (~140 categories)?,,Yes
,Amy1-CQ3,What is left from the original organs built by XX organ builder? Where are these original components now?,,Yes
,Amy1-CQ4,Which changes have been made to the original organs? When were these changes made? Who made the changes? To what degree are the organs (or components of organs) in their original state?,,Yes
,Amy1-CQ5,What are the arthistorical features of the front of the organ? In which style is the organ built?,,Yes
,Amy1-CQ6,When (and why) was the organ moved? Where was the organ placed originally?,,Yes
,Amy1-CQ8,Which organ builders worked on whose (original organ builder’s) organs?,,Yes
,Paul1-Q2,"What are the technical features such as pitch, windpressure, and bellow type?",,Yes
,Paul1-Q3,What materials is the casing made of?,,Yes
,Paul1-Q4,What are the dispositions of all the organs made by XX organ builder?,,Yes
,Paul1-Q5,When have changes been made to the organ? What were these changes? Who made these changes?,,Yes
,Frank1-Q2,Which organ builders worked on whose (original organ builder’s) organs?,,Yes
,Frank1-Q3,Who built and/or renovated XX organ?,,Yes
,Frank1-Q4,What was the disposition of the organ at a specific point in time?,,Yes
,Frank1-Q5,Which organs have a similar disposition?,,Yes
,Frank1-Q6,What does the organ look like?,,Yes
,Frank1-Q7,What are the arthistorical features of the front of the organ? In which style is the organ built?,,Yes
,Frank1-Q8,What are the decorative elements?,,Yes
,Frank1-Q9,Which organs are built in a similar style?,,Yes
Explore sources of content,Amy1-CQ2,Is XX fact reliable? What are the sources of XX fact?,Yes,Yes
,Paul2-Q6,Is XX fact reliable? What are the sources of XX fact?,Yes,Yes
,Laurent1-Q4,Is a dataset attached to resource X?,Yes,Yes
Discover new content,Andrea1-Q4,Can I keep getting suggestions in real time?,Yes,Yes
Discover content,Laurent1-Q2,What types of resources can I find?,Yes,Yes
,Andrea1-Q2,What types of resources can I find?,Yes,Yes
